"id","lat","lon","juosta","pavadinimas","kodas","map_id"
1028,NULL,NULL,2,NULL,"VD1.2",101
1029,NULL,NULL,3,NULL,"VD1.3",101
1030,NULL,NULL,2,NULL,"VD2.2",101
1031,NULL,NULL,1,NULL,"VD2.1",101
1032,NULL,NULL,1,NULL,"VD3.1",101
1033,NULL,NULL,1,NULL,"VD4.1",101
1034,NULL,NULL,2,NULL,"VD4.2",101
1035,NULL,NULL,NULL,NULL,"D1",101
1036,NULL,NULL,NULL,NULL,"D2",101
1037,NULL,NULL,NULL,NULL,"D3",101
1038,NULL,NULL,NULL,NULL,"D4",101
1039,NULL,NULL,NULL,NULL,"D5",101
1040,NULL,NULL,NULL,NULL,"D7",101
1041,NULL,NULL,NULL,NULL,"D8",101
1043,NULL,NULL,3,NULL,"VD4.3",118
1045,NULL,NULL,1,NULL,"VD4.1",118
1046,NULL,NULL,2,NULL,"VD4.2",118
1047,NULL,NULL,2,NULL,"VD2.2",151
1048,NULL,NULL,NULL,NULL,"118 D11",118
1049,NULL,NULL,2,NULL,"VD1.2",152
1050,NULL,NULL,NULL,NULL,"118 D12",118
1051,NULL,NULL,NULL,NULL,"D1",121
1052,NULL,NULL,NULL,NULL,"D10",121
1053,NULL,NULL,NULL,NULL,"D11",121
1054,NULL,NULL,1,NULL,"VD3.1",861
