K;FD;DET;;
253 D3;253 D3;72;;
254 D4;254 D4;720;;
254 D5;254 D5;733;;
254 D6;254 D6;725;;
254 D7;254 D7;719;;
254 D8;254 D8;729;;
254 D9;254 D9;716;;
255 D1;255 D1;707;;
255 D10;255 D10;684;;
255 D11;255 D11;683;;
255 D12;255 D12;682;;
255 D2;255 D2;723;;
255 D3;255 D3;715;;
255 D4;255 D4;720;;
255 D5;255 D5;689;;
255 D6;255 D6;688;;
255 D7;255 D7;687;;
255 D8;255 D8;686;;
255 D9;255 D9;685;;
256 D1;256 D1;681;;
256 D10;256 D10;673;;
256 D2;256 D2;680;;
256 D3;256 D3;68;;
256 D4;256 D4;679;;
256 D5;256 D5;678;;
256 D6;256 D6;677;;
256 D7;256 D7;676;;
256 D8;256 D8;675;;
256 D9;256 D9;674;;
257 VD1.1;257 D1;672;;
257 VD2.1;257 D2;671;;
257 VD2.2;257 D3;670;;
257 VD3.1;257 D4;67;;
257 VD3.2;257 D5;669;;
257 VD4.1;257 D6;668;;
257 VD4.2;257 D7;667;;
257 VD5.1;257 D8;666;;
257 VD6.1;257 D9;665;;
258 VD1.1;258 D1;664;;
258 VD2.1;258 D2;663;;
258 VD2.2;258 D3;662;;
258 VD3.1;258 D4;661;;
258 VD3.2;258 D5;660;;
258 VD4.1;258 D6;66;;
258 VD4.2;258 D7;659;;
259 VD1.1;259 D1;657;;
259 VD1.2;259 D2;656;;
259 VD2.1;259 D3;655;;
259 VD3.1;259 D4;654;;
259 VD4.1;259 D5;653;;
259 VD5.1;259 D6;652;;
259 VD52.;259 D7;651;;
259 VD6.1;259 D8;650;;
259 VD7.1;259 D9;65;;
259 VD8.1;259 D10;649;;
260 D1;260 D1;1379;;
260 D10;260 D10;1386;;
260 D2;260 D2;1380;;
260 D3;260 D3;1381;;
260 D4;260 D4;1382;;
260 D5;260 D5;1383;;
260 D6;260 D6;1973;;
260 D7;260 D7;1990;;
260 D8;260 D8;1384;;
260 D9;260 D9;1385;;
301 VD1.1;301 D1;647;;
301 VD1.2;301 D2;646;;
301 VD2.1;301 D3;645;;
301 VD2.2;301 D4;644;;
301 VD2.3;301 D5;643;;
301 VD3.1;301 D6;642;;
301 VD3.2;301 D7;641;;
301 VD4.1;301 D8;640;;
301 VD5.1;301 D9;64;;
302 VD1.1;302 D1;637;;
302 VD1.2;302 D2;636;;
302 VD2.1;302 D3;635;;
302 VD3.1;302 D4;634;;
302 VD4.1;302 D5;633;;
302 VD4.2;302 D6;632;;
302 VD4.3;302 D7;632;;
302 VD5.1;302 D8;631;;
302 VD5.2;302 D9;63;;
302 VD6.1;302 D10;629;;
302 VD6.2;302 D11;628;;
302 VD6.3;302 D12;627;;
302 VD7.1;302 D13;626;;
302 VD7.2;302 D14;625;;
302 VD7.3;302 D15;624;;
302 VD8.1;302 D16;1607;;
303 VD1.1;302 D1;62;;
303 VD1.2;303 D2;619;;
303 VD2.1;303 D3;618;;
303 VD2.2;303 D4;617;;
304 VD1.1;304 D1;615;;
304 VD1.2;304 D2;614;;
304 VD2.1;304 D3;613;;
304 VD2.2;304 D4;612;;
304 VD3.1;304 D5;611;;
306 VD1.1;306 D1;587;;
306 VD2.1;306 D2;586;;
306 VD2.2;306 D3;585;;
306 VD3.1;306 D4;584;;
306 VD3.2;306 D5;583;;
306 VD4.1;306 D6;582;;
306 VD5.1;306 D7;581;;
306 VD6.1;306 D8;580;;
306 VD6.2;306 D9;58;;
306 VD7.1;306 D10;579;;
306 VD7.2;306 D11;578;;
308 VD1.1;308 D1;576;;
308 VD1.2;308 D2;575;;
308 VD2.1;308 D3;574;;
308 VD2.2;308 D4;573;;
309 VD1.1;309 D1;571;;
309 VD1.2;309 D2;570;;
309 VD2.1;309 D3;57;;
309 VD2.2;309 D4;569;;
310 VD1.1;310 D1;567;;
310 VD1.2;310 D2;566;;
310 VD2.1;310 D3;565;;
310 VD2.2;310 D4;564;;
311 VD1.1;311 D1;562;;
311 VD1.2;311 D2;561;;
311 VD1.3;311 D3;560;;
311 VD2.1;311 D4;56;;
311 VD2.2;311 D5;559;;
311 VD3.1;311 D6;558;;
311 VD3.2;311 D7;557;;
311 VD4.1;311 D8;556;;
311 VD5.1;311 D9;565;;
311 VD5.2;311 D10;564;;
311 VD5.3;311 D11;563;;
311 VD6.1;311 D12;562;;
311 VD6.2;311 D13;561;;
